employee_id,Self: Inspire with Purpose,Self: Drive for Results,Self: Own the Outcome,Self: Speak Up and Listen,Self: Lead with Empathy,Self: Grow Others,Self: Bridge Across Boundaries,Self: Act with Integrity,Self: Make it Simple,Self: Lead Change Fearlessly,Self: Learn and Adapt Fast,Self: Champion Diversity,Manager: Inspire with Purpose,Manager: Drive for Results,Manager: Own the Outcome,Manager: Speak Up and Listen,Manager: Lead with Empathy,Manager: Grow Others,Manager: Bridge Across Boundaries,Manager: Act with Integrity,Manager: Make it Simple,Manager: Lead Change Fearlessly,Manager: Learn and Adapt Fast,Manager: Champion Diversity,Peers: Inspire with Purpose,Peers: Drive for Results,Peers: Own the Outcome,Peers: Speak Up and Listen,Peers: Lead with Empathy,Peers: Grow Others,Peers: Bridge Across Boundaries,Peers: Act with Integrity,Peers: Make it Simple,Peers: Lead Change Fearlessly,Peers: Learn and Adapt Fast,Peers: Champion Diversity,Reports: Inspire with Purpose,Reports: Drive for Results,Reports: Own the Outcome,Reports: Speak Up and Listen,Reports: Lead with Empathy,Reports: Grow Others,Reports: Bridge Across Boundaries,Reports: Act with Integrity,Reports: Make it Simple,Reports: Lead Change Fearlessly,Reports: Learn and Adapt Fast,Reports: Champion Diversity
emp147732,4,5,5,4,5,4,4,4,4,5,5,4,4,4,4,4,4,3,4,4,4,4,4,4,3.975898944,4.82305652,4.653465451,3.730999892,3.503608505,3.988402914,4.271118979,4.82305652,3.856730695,4.05013847,4.568918711,4.175771267,3.586002289,3.917719462,4.182320071,4.469099571,4.543309099,4.348154018,3.620959458,4.639289958,4.074467072,3.852665642,3.56008464,4.205474736
emp140775,4,5,4,5,4,5,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,5,3,4.178738279,3.954427318,3.759083828,3.758874346,3.834219427,4.658283241,4.267324158,4.219255347,3.941570123,3.792891619,4.142369061,4.438947174,4.653771493,4.777110376,4.68653686,4.529348592,4.777110376,3.724744185,3.591683582,3.464019662,4.419846696,3.852910507,4.730409375,4.540195139
emp150968,5,5,4,4,5,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,3.806685244,4.276839256,4.631260585,4.379724775,4.768091046,3.958928203,4.20203282,4.768091046,3.730709794,4.768091046,4.030794241,4.332052839,4.215677717,3.908996761,4.452808108,4.234687165,4.324737469,3.725623002,4.57018299,3.565494904,3.760887118,4.006031372,4.315279281,3.573177856
emp139649,4,5,4,5,4,4,4,4,4,5,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3.671812409,4.444893041,4.602434333,3.265370337,4.116245089,3.680183941,3.556530809,3.958843239,4.403183366,3.651305224,3.61605919,3.687002309,3.252551982,3.944374389,3.50692941,3.546290014,3.991741012,3.845985502,3.110029893,4.2047737,3.444572555,4.159030036,3.589621392,4.0788335
emp133190,4,4,4,5,5,4,4,4,4,4,4,5,4,4,4,5,4,4,5,5,4,3,4,5,3.516842618,4.224638333,4.254379131,4.299132777,4.451235815,4.607119933,3.034975979,4.613959266,4.646574633,4.749038033,3.981123882,4.351340332,3.961649498,4.240519925,3.729916535,4.36364129,4.751073392,3.76362111,4.816168391,4.61053217,4.004118743,4.816168391,4.39805248,4.089096132
emp147813,4,4,4,4,4,4,3,4,4,4,4,4,4,4,5,3,5,4,3,4,4,4,5,5,4.854851134,4.854851134,4.654581438,4.007496764,4.557987475,4.24672855,4.141165263,4.239639931,4.564214737,4.22190047,4.077794671,3.8061027,4.284974966,4.125802387,4.430073224,4.155368504,4.853940171,4.469136477,4.853940171,4.372499058,4.456569579,4.213040361,4.453117992,3.820950625
emp139889,4,4,5,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3.944264507,4.43247014,4.043563593,3.331821717,4.51337005,3.860167795,3.269455242,4.052328531,4.013597454,3.800571097,3.769451402,3.993965815,4.052435108,4.486686468,3.927447511,3.504943983,4.303897034,4.05765226,3.282513062,4.733337805,4.122133347,3.853539888,3.843431882,4.227919369
emp142078,4,5,5,3,4,4,4,4,4,4,5,5,4,4,3,4,4,4,5,5,4,5,4,4,4.52877332,4.684521413,4.643984561,4.051215885,4.578626058,4.20150149,3.828757433,3.827385648,4.338793395,4.381857002,4.349211596,3.997161151,3.925278486,4.901503279,4.184108866,4.502115852,4.580175763,4.038718179,3.59015411,4.901503279,2.926398708,4.841218126,4.574209352,4.22370821
emp141072,4,4,5,4,4,4,4,4,5,4,5,4,3,5,5,4,4,4,4,4,4,5,4,4,3.905900914,3.936703506,4.319186862,3.553692086,3.332051443,3.303436609,3.973019949,4.21903421,4.495498194,4.248488859,4.486664687,3.663076829,3.661988707,4.502007296,4.645858887,4.295457087,3.845296024,3.69207234,3.545719717,3.707241678,4.194722426,3.807448779,3.820547197,3.870849178
emp138702,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,3,4,5,4,4,4,4,4.061289325,4.158269628,4.669060086,3.786446517,4.205586658,4.218576472,3.895544912,4.031225137,3.670389279,4.577213789,4.264251953,4.447481702,4.105800341,4.302486197,4.586487175,3.823357341,3.747481993,3.638420371,4.08857602,3.944191516,2.930997561,4.586487175,4.438659829,3.958869201
emp147240,4,4,5,4,4,4,3,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4,5,4,3.219006174,4.450535861,4.399590525,3.004865901,3.107404618,3.364295191,3.865673762,4.120016272,3.717978769,3.909462442,3.699941669,3.632756529,4.140777526,4.379002218,4.559024149,4.302193304,4.224575572,4.201163072,3.90592187,4.287087056,4.671368263,4.15645949,4.235860145,4.394213245
emp145037,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,3.675820844,4.385727209,4.689283755,4.221710344,3.849736452,4.017802775,3.894777671,4.407620902,4.422450305,4.867200554,4.867200554,4.773766907,3.970282402,4.582206669,3.735827066,4.185162334,3.905078967,3.796855757,4.012730399,4.678092934,4.678092934,4.251398323,4.44937534,3.817662528
emp140878,4,4,4,4,4,4,4,5,5,5,5,4,4,4,3,4,4,3,4,5,4,4,4,4,4.656327233,3.858821846,4.581098299,4.325562847,4.432766212,4.002840117,3.890911234,4.454726992,3.622072776,4.656327233,4.062519578,4.244785103,4.508730008,4.40346121,4.255839533,4.081694899,3.619255105,3.310343761,2.729148064,3.889997413,4.441677417,4.241569676,4.065550845,4.443801394
emp140448,4,4,5,4,4,5,4,4,4,5,5,4,4,4,5,4,4,4,3,4,4,5,4,4,3.568208007,4.326441505,4.59419364,4.064190432,3.830974111,4.524557167,4.10587577,3.487659388,3.939985326,4.010719737,3.902258268,4.259010231,4.120038241,4.395664401,3.695111132,4.19209018,4.487262369,3.35218128,3.381003422,4.370021235,4.474039522,4.049261099,4.181656881,4.571704373
emp146265,4,5,4,5,5,4,3,5,4,5,5,4,4,4,4,4,4,4,4,4,4,5,4,4,3.411505223,3.897470623,3.996481937,4.348337793,4.340526179,4.476012538,3.724717373,4.004027499,4.410978699,3.050651603,3.944274761,4.370642719,3.84517846,4.253250075,4.074846266,4.069164948,3.437561317,4.022926342,3.752634569,4.525788733,3.661038169,4.731024484,4.467106307,4.350285073
emp145242,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,5,4,4,4,4,4,5,4.185384435,3.352550401,3.929254371,4.055707389,3.79740526,4.354816569,4.155149139,4.596835345,3.785793946,3.737009587,3.427152586,4.244950802,3.686302694,3.745789272,3.625773297,4.04680678,3.837282555,3.803400512,3.766008768,4.248777204,3.689741042,4.584283999,4.063990475,4.202844839
emp137725,3,4,4,4,4,4,4,4,4,5,4,5,4,4,3,4,4,4,4,4,4,4,4,4,4.028951174,3.824776487,4.447862597,3.517637905,4.061647801,3.883264322,3.176484495,4.555549592,3.509554513,4.083415434,4.457430261,3.948094168,4.578521542,4.173265626,3.881369626,3.853189531,4.357079824,4.513965539,3.363649914,4.209079558,3.793506599,3.853115148,4.158882909,4.284122323
emp138410,4,5,5,4,5,4,4,4,5,4,5,4,4,4,5,4,4,4,3,4,4,4,4,4,4.214310816,4.421226214,4.835026354,4.100318523,4.295785814,4.578204505,3.739820529,4.511649981,4.743278013,3.99544951,4.720160048,4.1629888,3.974365993,4.10847453,4.663571013,4.395031639,4.292778826,3.266244941,4.266737718,3.735129468,3.526897438,4.50749827,3.557363257,4.299848579
emp138030,4,5,4,3,5,5,4,4,4,4,5,4,5,4,5,4,4,4,4,4,4,4,3,4,3.632869335,4.776531782,4.776531782,3.935921763,4.776531782,3.720596452,3.545209025,4.358901552,4.428874032,3.874710896,4.429105928,4.172276931,3.659291283,3.904877269,4.5463781,4.35200821,4.35804018,4.173078319,4.257741949,4.366234903,4.08022286,4.725338751,4.286477627,4.122663356
emp145391,4,5,4,4,5,4,4,5,5,5,4,5,4,5,4,4,5,4,4,5,4,5,4,4,4.27498182,3.966268055,4.681278241,3.850111604,4.117003355,3.341604791,4.265969172,4.360427316,4.006644173,4.19050954,4.101109716,4.800675661,4.117978336,4.135377665,4.891480214,4.82997467,4.384436202,3.536295474,4.028797152,4.577606297,4.051593514,4.18765609,4.239611373,4.033859158
emp149339,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,5,4,4,4.324969873,4.410872395,4.064635758,4.53226782,4.68951906,4.719049409,4.215307609,4.240637071,4.498424125,4.784800698,3.993174681,4.004551497,4.023538811,4.838254399,4.750050073,4.687158927,3.895924105,4.016187343,3.999183145,4.395169877,4.033215621,3.894278547,4.604619212,4.610529399
emp145040,4,4,4,4,4,4,4,4,4,5,4,3,5,4,5,5,4,4,3,4,5,5,5,4,3.73437094,4.651789542,4.404926435,3.614369103,3.820931026,4.249467968,4.284236959,4.717383514,3.933001287,4.178175066,3.385460781,3.873362521,3.880122449,4.06280964,4.195171125,3.12440549,4.679296078,4.023215218,4.080747851,4.322939214,3.926490417,3.887107813,4.392365103,4.679296078
emp142665,4,5,5,4,4,4,4,5,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,5,4.024127359,4.533458687,4.787722417,4.055245683,4.570456104,4.651484779,3.832213913,4.011258961,4.425870112,4.787722417,4.315366049,4.161357018,3.399601177,4.667163321,4.15924003,4.133116671,4.078134168,4.43719386,2.363988182,4.597133148,3.918380629,3.759339119,3.869713222,3.652937335
emp141561,4,4,4,4,4,4,4,5,4,4,4,4,3,4,4,4,4,4,4,5,4,4,4,4,3.8171621,4.279923447,4.710900281,3.27920918,3.393136729,4.036746692,3.933147452,4.196816948,3.715050153,4.259551554,4.710900281,3.954122115,3.730427156,4.186579281,4.308684453,3.210611903,3.630605302,3.643090419,3.512535977,4.037925718,4.104749891,4.20349079,3.509368533,3.817221193
emp150861,3,4,5,4,5,4,3,4,5,5,4,5,5,5,4,4,4,4,4,4,3,5,4,5,4.783347981,4.783347981,3.739741346,3.696689119,4.05357503,4.492916878,4.48663583,3.431758623,3.807233754,3.87539514,4.477324183,4.278716189,4.400579781,4.263799862,4.533826864,3.978963114,4.682656254,3.809760287,3.551539907,3.824854306,3.83832865,4.42367717,4.696409357,4.806336666
emp146561,4,4,5,4,5,4,3,5,4,4,5,4,4,5,4,4,5,4,4,5,4,4,5,4,3.70727933,4.362197498,4.592413298,3.508711273,4.307749754,3.05480041,2.970264736,3.938340676,3.65964378,4.592413298,3.58804731,4.373467172,3.823402694,3.85817472,4.361586986,3.697809743,4.442067316,3.546409421,3.958076514,3.926277262,4.13122344,4.36102915,4.113808843,4.262922175
emp141978,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,4,4,4,4,4,4,4,4.249956352,4.428078195,4.0451878,4.172950641,4.741907623,3.607711682,3.609731161,4.236649227,3.812057439,4.776354382,4.251949535,4.241003851,3.616549653,4.456430989,4.326226414,3.98354045,3.877465469,3.557725501,4.250920243,4.499901654,4.698802704,4.338036334,4.504434872,4.698802704
emp149973,4,4,5,4,3,3,3,5,4,4,4,4,4,4,4,4,5,5,4,5,4,5,4,4,3.898997655,3.907065161,3.171931993,3.859888374,4.217737311,3.303603137,3.73806057,4.218718718,3.928794981,4.418025953,4.19210262,3.606547209,4.316524398,4.242789053,4.183990714,4.413918271,3.581866413,4.161069681,4.624475402,4.366826904,4.33268266,4.309337961,4.723263054,3.289050251
emp145468,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,5,4,5,5,4,4.226003464,4.592106733,3.426455184,4.592106733,4.436746712,4.079379866,4.035335424,4.335148954,4.189585917,4.392987944,3.912811465,4.592106733,4.168698824,3.632142332,3.894217331,4.612383542,3.745824736,3.512084462,3.679482348,4.062036882,4.272614086,4.605868555,3.685833187,4.386021591
emp142806,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,3,3,4,4,4,4,4,3.859390008,4.373045088,4.469665543,4.502902237,4.681856492,4.002620127,3.511524002,3.794086415,3.536108278,4.41405145,3.254396912,3.580115954,4.259901612,4.513748488,3.884465178,3.750549799,4.332003172,4.175118147,3.441339544,4.333847354,4.562454847,3.688768086,4.609182899,4.476201549
emp142577,4,5,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4.634397657,4.087562593,4.498089983,4.327698454,4.12740088,3.415619984,3.537437402,4.567442311,3.643387025,4.338881623,4.634397657,3.87044503,3.555042003,3.692269307,4.0849685,3.859383288,4.197673685,3.714584891,3.978738673,4.097717888,3.811225349,3.948853187,3.962466216,4.180673891
emp149069,3,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,5,4,5,4,4,3.498596283,4.730355161,4.673276861,3.731157589,4.551802969,4.216212378,3.84816564,3.98240675,4.114985116,4.702565823,4.730355161,3.759026326,3.928288515,4.657888084,4.667463479,3.866116587,3.169874918,3.591912052,3.406733125,4.749493613,4.663262602,3.909758997,3.998634232,4.749493613
emp149406,4,5,4,4,5,4,4,4,4,4,4,4,5,4,5,4,4,5,3,5,4,5,5,4,4.727943598,4.028645523,4.394271015,4.028940173,4.550499753,4.592621219,4.134309253,4.213329063,4.000702831,3.982785907,3.809596371,4.496434409,4.210706014,4.158685842,4.64573052,2.832607447,3.957907094,4.64573052,3.430078001,4.490234899,4.132037897,4.113052613,4.32946193,4.545738779
emp148182,4,5,4,4,4,4,4,4,5,5,4,4,4,5,5,4,4,3,4,4,4,4,4,4,4.651582225,4.500002107,3.533354413,4.354004277,4.420131565,3.855475329,3.655638013,4.08953039,4.008973081,3.553456888,4.415691848,3.863769096,3.679695122,3.752779751,4.073901176,3.177458562,3.47997018,3.848246821,3.40045442,3.920564883,3.107438086,3.938613948,3.845244919,4.234963007
emp150705,5,5,4,4,4,4,4,4,4,5,5,4,4,4,4,3,4,4,4,4,4,4,4,5,3.634687539,4.444221567,4.741728003,3.60707433,4.516150622,3.520912838,4.254406533,4.222934565,4.102319634,4.109673185,4.595629978,4.335054652,4.061740477,4.322869775,4.796445345,4.262216101,4.796445345,4.466875717,3.705685746,3.610694629,3.483792243,4.767481989,3.884165422,4.17064519
emp139493,4,4,5,4,4,4,3,4,4,4,5,4,4,5,4,4,4,5,3,4,4,4,4,5,4.098294028,3.924170299,4.19502893,4.46935443,3.93964992,4.015944439,3.787102892,4.719504451,4.272044109,4.382473527,3.972615361,4.42019936,3.554004968,4.152661328,4.552249246,4.234001545,4.037991852,3.765350632,3.351680737,4.078077729,4.338827136,4.416502778,3.585475565,3.43682141
emp148020,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,5,4,4,3.832581401,3.689259282,4.558671174,3.90243682,3.813316045,3.730806099,3.599063592,4.032724476,3.952907216,4.664986389,4.357514729,3.917372428,4.16630911,3.564577636,4.630884968,4.056793876,4.051532236,3.261653822,3.293871965,4.630884968,4.526463959,4.034975664,4.506607214,4.597522232
emp140661,4,5,4,5,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,5,4,4.456758267,4.437827987,4.567914956,4.4468506,4.530852195,3.892050531,3.896569839,3.624360659,3.923194596,3.931465965,4.570585538,4.709419598,4.504748431,4.671696809,4.586720817,4.30587203,3.637005884,3.539646849,3.602147489,4.052277034,4.445955925,3.875471543,4.319628771,4.7907114
emp141471,4,5,4,4,5,4,4,4,4,4,5,4,3,4,4,4,4,4,3,4,4,5,4,4,4.263527228,4.535491705,4.759841846,4.618289621,4.270904306,4.149899256,4.025144193,4.345202997,4.329656124,4.779579367,4.612014953,3.789326719,3.498379969,4.564748008,4.27166385,4.102427534,4.655352106,3.947602925,4.590799916,4.430797263,4.673126795,3.68641409,3.733793989,4.103812818
emp150180,4,5,4,3,5,4,3,5,4,4,4,4,5,4,4,4,4,4,4,4,3,4,3,4,3.920122671,4.111194308,4.28388822,3.790426693,3.985165978,4.697190403,4.028232946,4.315056421,3.515473024,3.506207943,3.605929389,4.558565419,4.213880671,4.434220102,3.632108293,4.29728298,3.914175255,4.524413612,3.291305014,3.84134806,4.614710933,4.623547559,3.827177985,4.827831643
emp143806,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,3,4,4,3,4,5,4,3.6187174,4.443974168,4.316522291,3.769071596,4.443974168,3.281914353,2.682379575,4.123778439,3.441083621,3.749316384,3.632122475,3.800761253,3.896285062,4.153461582,3.818810906,3.198992279,4.218194901,4.459508082,3.955462644,3.802077329,4.111048424,4.59172,3.89350423,3.703920839
emp147067,3,5,4,4,5,4,4,5,5,4,4,3,4,4,4,4,4,4,4,4,4,5,4,4,4.433568843,4.231946655,4.158587868,4.323917891,4.122374921,4.149630846,3.773872151,4.171321109,3.971507969,4.806668052,4.464730335,4.897147463,3.887050859,4.754423427,4.449038422,3.55879073,4.304056389,3.437862015,4.864670243,4.182523357,4.132316389,4.696597095,4.55252584,4.548140146
emp131098,4,4,4,5,4,4,4,4,5,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4.16217487,4.466559349,4.15298726,3.8757011,4.528676406,3.065319199,3.339135166,4.259824958,4.022506983,4.049184262,4.02252732,4.120646432,3.551926382,4.294308941,3.931985295,4.064813688,3.700977951,3.729774694,3.386468503,4.317903194,3.828367615,4.423728126,4.312871949,3.877259686
emp148496,5,4,4,4,4,4,3,4,5,5,4,5,3,4,4,4,5,4,3,4,3,4,4,4,3.500007972,4.453297094,4.297868071,4.504101162,3.919570613,3.888553837,3.609717856,4.255443148,3.700391277,4.149848805,3.808336922,3.547487735,4.225648847,4.72734405,4.511342593,4.038465726,4.72734405,3.662156701,3.685646553,3.721088299,4.008408067,4.078976929,4.280600291,4.4660506
emp150523,4,4,4,4,3,5,4,5,4,5,4,4,4,5,4,4,4,4,4,4,3,4,5,4,4.422537313,4.199786584,4.289490966,3.829938178,4.38164268,3.868557945,3.86712854,4.092027926,4.054012362,4.448788124,4.052827015,4.743473928,3.435347823,4.486084582,3.904733979,3.251999454,4.108196037,4.491205596,3.810863194,4.405844881,4.270591075,3.536067545,3.957910978,4.268466479
emp143164,4,5,4,4,4,4,4,5,4,5,4,4,4,5,4,4,4,3,4,5,4,4,4,5,4.353236254,4.97979083,3.776451256,4.058668485,4.608287652,4.678208721,4.66149691,4.307142372,4.855617857,4.536684468,4.148746289,4.623119619,4.45858268,3.95679685,3.909278545,3.733305415,3.509002926,4.179760386,3.547049669,3.777123139,3.931224454,4.592909751,3.717097325,3.679795062
emp142400,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,5,4,4,3.923590192,4.340740342,3.929520653,4.498799873,4.394455885,4.640911522,3.708083369,4.072426992,3.73907402,4.238569447,4.574481558,3.385946604,3.188716416,4.404785365,3.897023801,3.904465063,4.451387566,4.082360602,3.620999961,3.817576246,4.221900856,4.615360945,4.615360945,4.066639819
emp145490,4,4,4,4,5,4,3,5,4,4,5,4,4,4,4,4,4,4,3,5,4,4,4,4,3.942462343,4.291991397,4.329894247,4.384812034,3.680432902,4.122020693,3.624595356,4.227684609,3.600605989,4.426783863,4.375446514,4.165070588,3.133079795,4.295519716,4.522428977,4.756352469,4.50414405,4.135311452,3.818422478,4.548794664,3.8153785,3.90833951,4.42740383,4.414512777
emp144015,4,4,5,5,3,4,4,4,5,4,5,4,5,5,4,4,5,5,4,4,4,5,4,3,3.256701178,4.850193849,4.722333294,4.429267668,3.635624475,4.521847616,3.475646656,4.850193849,4.850193849,4.46793055,4.850193849,4.054813684,3.381171861,4.543127918,4.325440179,4.478897641,3.608724875,4.255481977,3.465086547,4.0889181,4.374827344,4.7341476,3.964577292,3.951851234
emp145862,5,4,5,3,4,5,4,5,5,5,5,5,4,4,4,4,4,5,4,4,4,5,5,4,3.964356078,4.698290016,3.119667127,3.770156957,3.981986392,4.698290016,3.54362793,4.599205242,4.653767207,4.698290016,4.322551781,4.476244962,3.874345875,4.401116827,3.948577051,3.999523149,3.808623079,3.823921594,3.842306694,4.48441175,3.914239735,4.124670097,4.192207487,4.285742308
emp144283,4,4,4,4,4,3,3,5,3,4,5,4,3,4,4,4,4,3,4,4,4,4,4,4,4.527920816,4.527920816,3.735106987,4.029533283,2.79544272,3.803860677,3.771152181,3.931790257,3.91525757,4.527920816,3.378431734,4.178090977,3.740513468,4.07957446,3.973953577,4.090278033,3.360043982,3.659503941,3.631571419,3.667415342,3.558187348,4.297797671,4.287531878,3.652401352
emp142646,4,5,4,4,5,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,3,4,4.542374969,4.190195934,4.147611764,2.98078127,3.382689638,3.986512394,3.445193502,3.737257052,3.474311208,4.263904478,4.190999192,4.452522759,3.784742035,3.671176555,3.901083573,3.961184843,3.445904803,3.922504896,3.531338579,3.953653723,3.735494393,3.781997592,3.990363673,3.757243358
emp149874,4,4,4,4,4,5,4,4,5,4,4,4,4,5,5,4,4,3,4,4,3,4,4,4,3.486014103,3.596560724,4.444706014,4.444706014,3.572004366,4.412255491,3.286544163,3.613979287,3.655992472,4.2562175,4.094711921,3.771701469,4.216669605,4.423226505,4.336999976,3.19261632,4.491819021,3.196861283,3.192192157,4.423039295,3.643108839,3.756501348,4.337408899,3.977633618
emp141808,4,4,4,4,4,4,3,4,4,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4.023222648,4.656313952,4.287654319,4.544035885,4.799878115,4.174942073,3.565022944,3.759215586,3.69066652,4.612450098,4.799878115,4.288453611,4.371553439,4.698105764,4.640110605,4.230836703,4.519647128,4.512182607,3.711081423,3.897393941,4.236977928,4.060001934,4.025009271,3.90251148
emp136592,4,4,4,5,4,4,3,4,4,4,4,4,4,3,4,3,3,4,4,4,4,3,4,4,3.558428243,3.388766264,4.42924884,3.488891929,4.534810105,3.871135293,2.762448645,4.535799942,4.081733529,3.812596124,4.240546845,4.535799942,4.145162446,4.021942532,3.499300816,3.661558929,4.055963583,3.204504844,3.13994883,4.553016516,3.922475827,4.424012562,4.298619369,3.662325381
emp146316,4,4,4,4,4,4,4,4,4,5,4,4,4,5,3,4,4,4,4,4,5,4,5,4,3.326694357,3.775781138,4.293124406,2.982628245,4.281226975,3.593874736,3.92701869,4.155035209,4.177736911,4.167860667,4.364103711,4.126967052,3.414045424,3.98396824,4.727653753,4.165062499,4.664712686,3.214438233,3.282919499,4.727653753,3.48082085,4.508734477,3.756399983,3.930965093
emp151066,4,4,5,4,4,4,4,5,4,4,4,5,4,4,4,4,5,4,4,5,4,4,4,3,4.112156017,4.879540175,4.879540175,4.199940741,4.679620712,4.05665706,4.193712932,4.84971151,4.794717109,3.65610346,4.354989476,4.422939993,4.460037364,4.064306847,4.130013699,4.238772872,4.591543948,4.258025676,3.695573185,4.478057999,4.243094417,4.782471137,4.347951029,4.744800155
emp145199,5,5,4,4,5,4,4,5,4,5,5,4,4,4,4,3,4,3,4,5,4,5,4,4,3.574534227,4.210537896,4.577007107,3.858900359,4.364795321,4.354934846,3.402470914,4.577007107,4.352573696,4.218138552,4.577007107,3.51954673,4.187941299,3.857663556,4.490745532,3.73797386,4.469009809,3.728351114,3.579802505,3.830597473,3.804641455,3.938195037,4.490745532,4.015992937
emp149806,4,5,5,5,5,4,4,3,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,3,3.739813439,4.147490718,3.847267002,3.625944467,3.970385093,3.373028552,2.993577183,4.226222422,3.196452093,3.639446604,4.587145907,4.587145907,3.399368694,4.487068768,3.981297289,3.922926637,3.88856455,4.545954791,3.532431193,4.297202925,3.13375408,4.535028775,4.381665813,4.067774052
emp130938,5,5,5,4,5,4,4,4,4,4,5,4,4,5,4,4,4,4,4,5,4,4,5,5,4.646329447,4.885638832,4.495503291,3.792157478,4.254690074,3.794851036,3.720011843,4.191344547,3.588007134,4.885638832,4.60635618,4.737485675,4.165975763,4.170015966,4.316511397,4.219796972,3.879250038,3.665028417,4.219986123,4.226113738,3.63019013,3.934321864,4.040586929,4.332649129
emp145774,4,5,3,3,5,5,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,5,4,4,4.331610479,4.458437008,4.371810858,3.928016226,4.678987094,3.840032118,4.031536202,4.192920088,3.777268332,3.906757779,4.470891101,4.668456682,3.852861436,4.533182734,4.895155639,4.610727125,4.141062959,3.990740743,3.571243398,4.664955026,3.837441429,4.895155639,4.769262827,4.651448094
emp143646,4,5,3,5,4,3,3,4,4,4,4,4,4,4,4,3,4,3,4,4,3,3,4,3,3.62073025,3.940785064,3.930214142,3.533450928,4.500698595,3.374731066,2.949658275,3.823783208,3.681149851,3.976374074,4.442004342,4.290553239,3.516603532,4.080052596,4.070609038,4.093539433,4.264942428,4.047472828,3.78653041,4.165304908,3.857682982,4.335140996,4.07540418,4.223008588
emp150342,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4.231766725,4.626825154,4.492078409,4.16431379,3.895757246,4.253161823,3.996625637,3.854658467,4.10329242,4.62667078,4.457694076,3.546050904,3.871756985,3.990475015,4.174169124,4.256101703,4.044312508,4.64464872,3.468607468,3.813650572,3.755226034,4.001891966,4.644092706,3.81660774
emp146821,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,4,4,4,3,3,4,4,4,4,3.600895199,4.639956751,3.694031213,3.523521795,3.865501279,3.946948756,3.906925229,3.783864723,4.415883714,4.532065909,3.803636828,4.639956751,3.665107368,3.494661058,3.75276768,3.733691754,4.067952049,4.130379452,4.116791982,4.019156855,3.35459072,3.710049856,3.708389421,4.546764393
emp146901,3,4,4,4,4,3,4,4,4,4,5,4,3,4,4,5,4,4,4,4,4,4,5,4,4.432056737,4.809631333,4.636844041,3.867245291,4.011549501,3.910935085,3.451951223,4.191012959,4.112267588,3.734960435,3.682157904,4.150006643,4.291363424,4.369329486,3.922852332,4.453506934,3.907721088,4.380560918,4.101293278,4.019058025,3.931478575,4.703575944,4.631286135,3.448492729
emp144298,4,4,5,4,4,5,3,5,4,4,4,4,4,4,4,4,4,4,3,5,4,3,5,4,3.861681933,4.237160904,4.251154811,4.442973876,3.553313705,4.068223732,3.033669822,3.994409918,4.127413041,4.259814222,3.739603567,4.312109041,4.634684077,4.634684077,4.483043398,4.221154008,4.352071587,3.142656924,3.39906642,4.074869927,3.992253422,4.166512888,4.634684077,4.063239696
emp142642,4,4,3,3,4,3,4,4,4,4,4,4,4,5,4,3,4,4,4,4,4,3,4,4,4.488756216,3.81669618,4.004932852,3.101249769,3.44354342,3.969839331,3.897617814,3.882808701,3.893427841,4.533379095,4.055654454,3.974852138,4.504929877,4.091009838,4.793894739,4.039615793,4.541983948,4.480273289,3.536302724,4.515891737,3.596341027,4.790264496,4.286876361,3.79610953
